Table B1 
Properties of Variables in the Perseus Molecular Cloud


Identifier	R.A.	Decl.	SPT	Disk ^a	CTTS ^b	$\left\langle r\right\rangle $	nu	Amplitude	Timescale	Q	M	Category	Angle	
2MASS J03445614+3209152	56.233958	32.154306	K0	Y	Y	14.77	0.0287	0.63	230.32	0.77	1.00	L	80.5	
2MASS J03445785+3204016	56.241083	32.067167	M5.2	Y	cdots	18.33	0.0096	0.49	2.30	0.51	-0.07	QPS	46.1	
2MASS J03450108+3203200	56.254542	32.055611	M4.2	N	cdots	18.10	0.0080	0.47	1.03	0.72	-0.12	QPS	46.0	
2MASS J03450148+3212288	56.256167	32.208083	M4	N	cdots	17.66	0.0068	0.41	2.06	0.61	-0.08	QPS	45.4	
2MASS J03450151+3210512	56.256333	32.180972	K0	N	N	14.24	0.0073	0.14	1.88	0.69	-0.08	QPS	44.3	
2MASS J03450174+3214276	56.257250	32.241083	K4	N	N	15.11	0.0090	0.24	16.76	0.46	0.22	P ^c	75.6	
2MASS J03450285+3207006	56.261875	32.116917	M4.8	N	N	17.93	0.0088	0.51	0.98	0.80	-0.17	QPS	46.3	
2MASS J03450521+3209544	56.271750	32.165139	M3	N	cdots	17.72	0.0077	0.45	4.95	0.74	0.23	QPS	44.4	
2MASS J03450577+3203080	56.274042	32.052278	M0	N	N	14.60	0.0076	0.14	0.96	0.85	-0.02	QPS	cdots	
2MASS J03450773+3200272	56.282230	32.007576	K2.1	N	N	12.61	0.0168	0.22	1.57	0.90	-0.19	QPS ^c	42.9	
2MASS J03450796+3204018	56.283167	32.067250	G4	N	N	14.44	0.0062	0.13	1.04	0.76	0.17	QPS	34.3	
2MASS J03451598+3230519	56.316608	32.514442	K2.9	N	N	15.32	0.0069	0.16	0.57	0.80	0.15	QPS	36.4	
2MASS J03451634+3206199	56.318125	32.105528	K5	Y	Y	16.22	0.0620	1.22	1.46	0.93	0.73	APD	73.9	
2MASS J03451782+3212058	56.324292	32.201639	M3.8	Y	cdots	18.32	0.0148	0.73	198.99	0.48	-0.53	L	51.9	
2MASS J03451799+3219330	56.325000	32.325833	M3.5	N	N	17.99	0.0136	0.62	7.67	0.74	-0.29	QPS ^c	44.6	
2MASS J03452046+3206344	56.335250	32.109556	M1	Y	N	15.19	0.0206	0.41	3.16	0.86	0.54	QPD	69.0	
Gaia EDR3 216729139294155520	56.340596	32.535158	M3.6	N	N	17.57	0.0082	0.43	5.08	0.69	-0.08	QPS	45.4	
2MASS J03452214+3202040	56.342292	32.034444	M4	N	N	17.38	0.0057	0.31	0.97	0.79	-0.13	MP	43.6	
Gaia EDR3 216714158448241792	56.347417	32.410264	K5.6	N	N	15.77	0.0073	0.18	8.51	0.76	0.36	QPD	43.6	
2MASS J03452514+3209301	56.354792	32.158389	M3.8	Y	Y	16.52	0.0184	0.79	119.02	0.83	-0.91	L	60.2	
2MASS J03453061+3201557	56.377542	32.032111	K6	N	N	14.49	0.0070	0.14	2.24	0.68	-0.04	QPS	49.4	
2MASS J03453230+3203150	56.384583	32.054139	M3	N	cdots	16.33	0.0108	0.33	0.71	0.08	-0.50	P ^c	86.7	
2MASS J03453545+3203259	56.397708	32.057167	M4	N	cdots	17.10	0.0080	0.26	1.57	0.49	-0.06	P ^c	cdots	
2MASS J03453551+3156257	56.397968	31.940475	K8	N	N	16.94	0.0171	0.31	9.30	0.88	-0.20	QPS ^c	25.7	
2MASS J03454675+3228487	56.444813	32.480206	K7.5	N	N	17.42	0.0109	0.55	10.42	0.53	-0.17	P ^c	cdots	
Gaia EDR3 216418321101566464	56.521716	31.647741	M0.3	N	N	16.53	0.0065	0.28	7.46	0.58	-0.10	QPS	49.6	
Gaia EDR3 216643480466527744	56.693603	32.030345	K7	N	N	15.04	0.0072	0.14	4.44	0.83	0.01	QPS	47.6	
2MASS J03465739+3249173	56.739124	32.821499	M5.3	Y	cdots	18.54	0.0089	0.71	30.06	0.70	-0.12	QPS	42.5	
2MASS J03474711+3304034	56.946308	33.067616	K4.9	Y	Y	15.41	0.0242	0.32	118.25	0.82	0.97	L	79.2	
2MASS J03480048+3207463	57.002022	32.129539	M2.9	Y	cdots	17.89	0.0134	0.45	1.58	0.82	0.55	QPD	45.6	
Gaia EDR3 216829401012198912	57.012845	32.086724	K7	N	N	14.12	0.0072	0.17	183.98	0.85	-0.02	L	76.6	
Gaia EDR3 217072186920843264	57.213927	32.714366	M2.2	N	N	15.30	0.0061	0.12	1.29	0.74	0.18	QPS	cdots	
Gaia EDR3 217068063754243584	57.453438	32.833972	M2.8	N	N	16.73	0.0081	0.24	4.69	0.67	0.21	QPS	48.8	
Notes.
^a "Y" for disked objects and "N" for diskless objects.
^b "Y" for CTTSs and "N" for WTTSs, objects without LAMOST spectra are unclassified.
^c The variability types are adjusted to favor our by-eye classification.
